Имя объекта	Тип объекта	Содержание	Коментарий
AhmedzhanovaIA;
SchkurovaTA;
10.13.131.63;
10.13.130.194;
10.13.129.195;
10.13.132.66	Users, which uses SQLnet & RDP protocols to connect to Object-Group Servera_Oracle_Filiali
ws-chda	Ip адрес	10.13.130.173	
Oracle_ports	Протокол TCP	1521;
3389;
2010;
1522;
3872;
7889	SQLnet & RDP ports
Orenburg_nets	Группа ip адресов	10.7.65.0 255.255.255.0;
10.7.66.0 255.255.255.0	
FTP_to_Pechkin	Группа ip адресов	Astrakhan_nets;
Krasnodar_nets;
Orenburg_nets;
Surgut_nets;
Uhta_nets;
Urengoy_nets	Access to pechkin ftp from regions
Dispetcher_to_test_Oracle	Группа ip адресов	10.5.168.201;
10.5.169.154;
ws-chda	Moscow dispetcher can connect to Oracle in regions
DM_INLINE_SERVICE_7	Протокол TCP	4060;
4061;
12250-12050	
	Протокол UDP	5060;
29100-30099	
Web_cam_5000	Группа ip адресов	80.79.189.218
80.79.189.220
80.79.189.221	tcp/5000 video data from webcam
DM_INLINE_SERVICE_2	Протокол TCP	1400-1720	
	Протокол UDP	5010-5039;
5060	
Routers_branch_office	Группа ip адресов	Uhta_Router	
Poxy_Servers_Remote_offices	Ip адрес	10.7.233.3	
APOD_Servers	Группа ip адресов	10.241.10.10;
10.241.10.13;
10.241.10.14;
10.241.10.15;
10.241.10.16;
10.241.10.17;
10.241.10.18;
10.241.10.19	
APOD_users	Группа ip адресов	10.13.128.32;
10.13.128.15	
APOD_ports	Протокол TCP	443;
8000;
50000;
50001	
GazpromRootCA	Группа ip адресов	10.241.1.72;
10.250.4.160;
10.250.4.134	
AccessToInside	Группа ip адресов	Astrakhan_nets;
Krasnodar_nets;
Orenburg_nets;
Surgut_nets;
Uhta_nets;
Urengoy_nets	Access to inside from regions
FTP_branche_office_admin	Ip адрес	10.7.240.136	
Moscow_new_nets	Группа ip адресов	10.13.128.0 255.255.248.0	
Region_To_ProxyBD	Группа ip адресов	10.7.235.130;
10.7.235.140;
10.7.235.145;
10.7.235.146;
10.7.235.147;
10.7.235.148;
10.7.235.150;
10.7.235.154;
10.7.235.157;
10.7.235.158;
10.7.237.179;
10.7.237.70;
10.7.237.73;
10.7.237.89;
10.7.65.114;
10.7.65.119;
10.7.65.141;
10.7.65.173;
10.7.65.42;
10.7.65.52;
10.7.65.55;
10.7.65.67;
10.7.65.73;
10.7.65.88;
10.7.65.92;
10.7.65.93;
10.7.240.100;
10.7.240.101;
10.7.240.223;
10.7.233.157;
10.7.233.160;
10.7.233.188;
10.7.233.70;
10.7.233.94;
10.7.233.98;
10.7.233.99;
10.7.237.117;
10.7.237.95;
10.7.237.100;
10.7.237.80;
10.7.237.81;
10.7.237.91;
10.7.237.108;
10.7.237.147;
10.7.237.180;
10.7.237.69;
10.7.237.12;
10.7.237.120;
10.7.233.66;
10.7.65.150;
10.7.237.77;
10.7.65.41;
10.7.233.79;
10.7.240.196;
10.7.235.132;
10.7.240.152;
10.7.237.101;
10.7.237.79;
10.7.233.95;
10.7.239.132;
10.7.239.134;
10.7.240.190;
10.7.240.139;
10.7.233.140;
10.7.233.150;
10.7.233.173;
10.7.233.247;
10.7.233.250;
10.7.233.251;
10.7.233.252;
10.7.233.253;
10.7.233.254;
10.7.233.50;
10.7.233.67;
10.7.233.76;
10.7.65.127;
10.7.237.122;
Surgut_YarullinaGK;
Surgut_RybalkinaYV;
Surgut_TveretinaEM;
10.7.66.26;
Surgut_Salnikov;
10.7.237.148;
10.7.237.150;
10.7.237.151;
10.7.237.163;
10.7.237.174;
10.7.233.175;
10.7.65.48;
10.7.65.61;
10.13.204.183;
10.13.204.205;
10.13.205.0;
10.13.205.51;
10.7.235.144;
10.7.233.248	Access to Dislocation by RDP to Proxy-BD
SKZ_KAV	Группа ip адресов	esrdi.ss.gazprom.ru;
srdi01.dc-gpi.gazprom.ru	Podklu4enie k severu obnovleni9 kasperskogo
SKZ_WSUS	Группа ip адресов	esrdi.ss.gazprom.ru
srdi01.dc-gpi.gazprom.ru	Podklu4enie k serveru WSUS slujby korp zawity
FTP_Servers	Группа ip адресов	Pechkin_SMTP_Server
PROTON	
FTP_branch_users	Группа ip адресов	10.7.237.12;
10.7.65.50;
10.7.237.69;
10.7.237.70;
10.7.237.55;
10.7.233.223;
10.7.233.224;
10.7.235.132;
10.7.235.220;
10.7.235.251;
10.7.235.175;
10.7.235.222;
10.7.235.190;
10.7.235.137;
10.7.66.193;
10.7.66.194;
10.7.66.195;
10.7.66.196;
10.7.66.197;
10.7.233.5;
10.7.67.21;
10.7.233.225;
10.7.233.67;
Urengoy_Mahnovskiy;
Urengoy_Naumov;
Urengoy_Sidorova;
Yamal_MavdrikOY;
Yamal_SladkovVI;
10.13.205.51;
10.13.206.39;
Ast_Uskaev;
Surgut_Salnikov;
Orenburg_PalevAV;
Orenburg_RedinSG;
Orenburg_SharovAN;
Orenburg_Das;
10.7.65.71;
10.13.204.183	
NTP_Servers	Группа ip адресов	DNS2_Gazsvyaz;
10.250.3.9;
10.9.34.1	
Dislocation_Servers	Ip адрес	11.0.0.28	
Dislocation_Clients	Группа ip адресов	10.5.169.195;
10.5.169.196;
10.5.168.252;
10.5.168.88;
10.5.169.57;
10.5.168.181;
10.5.169.228;
10.5.168.112;
NekrashevichNA;
SheleninDY;
MOS-ETRANTERM-2K3;
MOS-ETRTS1-2K12;
10.7.233.200;
10.7.233.94	
Moscow_Admin	Группа ip адресов	10.5.169.246;
10.5.168.115;
10.13.129.152;
ws-chda;
Rancid_user	Moscow_Admin
39bld3flrVLAN	Группа ip адресов	10.13.140.128 255.255.255.128	39bld3flrVLAN
Etran_Resource	Группа ip адресов	11.0.0.11;
12.0.0.30;
11.0.0.13;
11.0.0.14;
12.0.0.19	Etran_Resource_Virtual_IP
Etran_Ports	Протокол TCP	80;
443;
8092	Etran_Ports
Region_DNS_Servers	Группа ip адресов	10.7.235.130;
10.7.235.131;
10.7.237.2;
10.7.240.130;
10.7.65.10;
10.7.65.22;
10.7.67.21;
10.7.235.251;
10.7.235.175;
10.7.233.24;
10.7.233.233;
10.7.233.5;
10.14.99.194;
10.7.237.67;
DC_Yamal_1;
10.7.240.135	Region_DNS_Servers
Device_Yamal	Группа ip адресов	10.13.207.0 255.255.255.248;
10.13.207.16 255.255.255.248;
10.13.207.8 255.255.255.248;
10.13.207.24 255.255.255.248;
10.13.207.32 255.255.255.248;
10.13.204.0 255.255.254.0;
10.13.207.56 255.255.255.248;
10.13.207.58;
Yamal_S-Terra_1000	Routing, firewalling, cryptographing
Birzha_for_Kornienko	Группа ip адресов	193.219.127.51;
193.219.127.52;
193.219.127.53	Birzha_for_Kornienko
Mngmnt_host_VipNet	Группа ip адресов	10.5.168.115;
ws-chda	Mngmnt_host_VipNet
Obmen_1C_ports	Протокол TCP	80;
110;
443;
465	32770994
ERP_Elar_Servers	Группа ip адресов	10.5.169.206;
10.5.169.45;
mos-iistst-2k12	ERP_Elar_Servers
ERP_Elar_Source	Группа ip адресов	10.241.1.67;
10.241.1.68;
10.241.1.69	ERP_Elar_Source
ERP_Elar_ports	Протокол TCP	1521;
12205;
12347	ERP_Elar_ports
Restricted_Client	Группа ip адресов	10.5.168.136;
10.5.168.236;
10.5.168.90;
10.5.169.22;
10.5.169.61;
10.5.168.247;
10.13.129.82;
10.5.169.128;
10.13.129.58;
10.13.128.180;
10.5.169.121;
10.5.169.130;
10.5.169.230;
10.5.168.175;
10.5.169.7;
10.13.129.214;
10.13.140.76;
10.13.140.98;
10.13.128.240;
10.5.168.233;
10.5.169.52;
10.13.128.48;
10.5.169.87;
10.13.129.245;
10.5.169.209;
10.13.128.192;
10.13.140.8;
10.5.168.69;
Egorova_Bank_Client;
10.5.168.207;
10.5.169.154;
10.5.169.67;
10.13.128.43;
10.13.131.228;
PerkhurovaNN;
OrlovIA;
VlasovaEE;
10.5.168.100;
10.5.169.109;
10.5.169.148;
10.5.169.64;
10.5.169.217;
10.13.131.74;
10.13.132.129	Restricted_Client
Ports_Restricted_Clients	Протокол TCP	3128	Ports_Restricted_Clients
Mini_Admin	Группа ip адресов	10.5.169.246;
10.5.169.177	Mini_Admin
Outside_site_users	Группа ip адресов	10.5.168.88
10.5.169.180	Outside_site_users
Surgut_Electronnoe_declarirovanie_client	Группа ip адресов	10.7.237.98
10.7.237.99	Surgut_Electronnoe_declarirovanie_client
39bld4flrVLAN	Группа ip адресов	10.13.140.0 255.255.255.128	39bld4flrVLAN
Yamal_Nets	Группа ip адресов	10.13.204.0 255.255.254.0;
10.13.206.0 255.255.254.0	Yamal_Nets
All_Filials	Группа ip адресов	Astrakhan_nets;
Krasnodar_nets;
Orenburg_nets;
Surgut_nets;
Uhta_nets;
Urengoy_nets;
Yamal_Nets	
Filials_users_MTR	Группа ip адресов	10.7.233.107;
10.7.233.114;
10.7.233.127;
10.7.233.158;
10.7.233.161;
10.7.233.163;
10.7.233.189;
10.7.233.221;
10.7.233.222;
10.7.233.65;
10.7.233.69;
10.7.233.73;
10.7.233.74;
10.7.233.88;
10.7.233.89;
10.7.233.92;
10.7.233.93;
10.7.233.94;
10.7.233.95;
10.7.235.132;
10.7.235.137;
10.7.235.139;
10.7.235.146;
10.7.235.147;
10.7.235.161;
10.7.235.165;
10.7.235.196;
10.7.235.203;
10.7.235.207;
10.7.235.208;
10.7.235.210;
10.7.235.213;
10.7.240.161;
10.7.240.172;
10.7.65.133;
10.7.65.134;
10.7.65.171;
10.7.65.87;
10.7.237.107;
10.7.237.115;
10.7.237.118;
10.7.237.120;
10.7.237.126;
10.7.237.132;
10.7.237.136;
10.7.237.143;
10.7.237.158;
10.7.237.184;
10.7.237.18;
10.7.237.39;
10.7.237.40;
10.7.237.53;
10.7.237.54;
10.7.237.55;
10.7.237.56;
10.7.233.223;
10.7.233.224;
10.7.235.153;
10.7.65.56;
10.13.206.130;
10.13.204.99;
10.13.206.39;
10.7.237.108;
10.7.237.12;
10.7.237.149;
10.7.237.179;
10.7.233.91;
10.7.237.147;
10.7.237.70;
10.7.240.136;
10.7.240.148;
10.7.237.135;
10.7.237.137;
10.7.237.10;
10.7.237.2;
10.7.237.153	Filials_users_MTR
Zabbix_Server_Ports	Протокол TCP	10050;
10051	Zabbix_Server_Ports
Transkredit_Bank_Servers	Группа ip адресов	80.82.169.66;
195.161.5.237	Transkredit_Bank_Servers
WebSrv_admins	Группа ip адресов	10.5.168.88;
10.13.128.24	
WebSrv_admin_port	Протокол TCP	4048;
4848	
VNCclients	Группа ip адресов	10.7.240.148;
10.7.65.130;
10.7.65.30;
10.7.233.223;
10.7.235.132;
10.7.237.179	
53bld2flrVLAN	Группа ip адресов	10.13.139.0 255.255.255.0	53bld2flrVLAN
Servers_Gazprompererabotka	Группа ip адресов	10.56.130.86;
10.56.130.87;
10.56.160.86;
10.56.160.87;
10.56.162.86;
10.56.162.87	Servers_Gazprompererabotka
Services_Gazprompererabotka	Протокол TCP	50000;
50001	Services_Gazprompererabotka
Our_Servers_To_Gazprompererabotka	Группа ip адресов	10.13.129.135;
10.5.168.88	Our_Servers_To_Gazprompererabotka
IUS_PRUV_Filials	Группа ip адресов	10.7.235.158;
10.7.240.172	IUS_PRUV_Filials_Clients
RKC_SRV	Группа ip адресов	10.250.4.179;
10.250.4.180	Web servera Rasschetnogo klientskogo centra
RKC_admins	Группа ip адресов	10.13.128.24;
10.5.169.176;
10.5.169.57;
10.5.168.88;
ws-chda	ip s dostupom k web serveram rasschetnogo klientskogo centra
RKC_admin	Протокол TCP	20;
21;
22;
80;
443;
3710	Porty dl9 dostupa k serveram rasschetnogo klientskogo centra
KMS	Протокол TCP	135;
1688;
49154	Ports used by KMS server
CCC_Learn	Группа ip адресов	10.56.173.3;
10.56.173.4	SAP Client Competence Center Learning System SAP SM (LSM)
CCC_Prod	Группа ip адресов	10.56.150.1
10.56.150.2	SAP Client Competence Center Productive GSM 700
RKC_exchange	Протокол TCP	4440-4450;
7676;
37000;
37001	Ports userd to exchange data from germes to RKC Servers
BO_DC	Ip адрес	10.7.240.130	Branch Office Domain Controllers
HO_DC	Группа ip адресов	10.5.169.213;
ws-chda	Head Office Domain Controllers
DC_Trust	Протокол TCP	135;
1688;
3389;
49154	Ports needs to trust Domain Controllers
NetBackup_Clients	Ip адрес	10.5.139.114	Outside NetBackup Clients
NB_Client_out	Протокол TCP	1556;
13783	Default outgoing ports Numbers for NetBackup Client 7.5
NB_Server	Протокол TCP	1556;
13722;
13724;
13783	Default NetBackup Master Server 7.5 outgoing ports
JAVA	Протокол TCP	50000;
50001	JAVA system information exchange
SAP_WD	Протокол TCP	8064;
8065	SAP Web Dispatcher System Information exchange
SOAP	Протокол TCP	4080;
4081;
8080;
8081	System information exchange Transportirovka
XI	Протокол TCP	8165;
44465	XI system information Exchange
Servers_Gazprompererabotka_SAP	Группа ip адресов	10.56.130.65;
10.56.160.1;
10.56.162.1	
IUS_PRUV_Servers	Группа ip адресов	10.56.195.21;
10.56.67.21;
10.56.67.22;
10.56.194.5;
10.56.194.6;
10.56.66.5;
10.56.66.6	IUS_PRUV_Servers
IUS_PRUV_Clients	Группа ip адресов	10.5.169.154;
10.5.168.207;
10.5.168.217;
10.5.168.60;
10.5.169.226;
10.5.160.79;
10.5.169.67;
10.13.130.8;
10.13.129.100;
10.13.140.98;
10.13.130.144;
PerkhurovaNN;
DolgovaYuN;
KostebelovSV;
SlijovaMS;
LobanovaEY;
RijaevaNA;
KonokotinaNN;
RyabkinaEY;
ws-gen;
KruglyhinaYA;
UstinovaEI;
TyurinDY;
KosenkoEV;
MyasnikovVS;
KrivashovaMV;
AAG;
PanshinIV;
YakimovaLA;
PatsukAV;
ws-nnt;
LeontevaPN;
PetrovaYuS;
VlasovaEE;
InzhievskiyAL;
PolukarovaIA;
NyatinaOV1;
VlasovaAS;
JukovAS;
SelivanenkoIV;
VoronovaAK;
TominSI;
ToropovOO;
NaumenkoAL;
EvdokimovaME;
GrechihinaSA;
KozlovAN;
KozyrevSN;
BelyaevaZV;
MelekhinMI;
AsharinAA;
ShatalovaAR;
GrishaninDV;
FrantsuzovaIV;
KashinaPA;
PanasukTI;
10.5.169.151;
VeselovaVS;
JuravlevaDS;
VolkovaOV;
DaevaYuA;
TotcevichFV;
ChumakEYu;
MardanovAR;
FedorenkoEV;
PlotnikovaYuA;
EremenkoDV;
KulikovaOA;
ParaschenkoIA;
KomoskoOV;
KozhinaYuS;
ListkovDA;
MashkinaNV;
MolodovskayaOV;
KiryanovaLA;
SavchenkoLV;
KosovcevaEN;
NilokaevaIA;
10.13.129.145;
OdinecNV;
10.13.129.13;
10.13.131.233;
10.13.130.192;
mos-rdsn9-2k12;
10.13.131.142;
10.13.130.148;
10.5.169.85;
10.13.129.239;
10.13.131.98;
10.13.131.44;
10.5.168.29;
10.13.131.71;
10.13.131.41;
10.5.169.190;
10.13.131.33;
10.13.130.195;
10.13.132.79;
10.5.168.149;
10.5.168.171;
10.13.131.235;
10.13.130.172;
10.13.129.233;
10.13.129.255;
10.13.130.134;
10.13.130.36;
10.13.130.94;
10.13.131.191;
10.13.132.159;
SHatskihLV;
10.5.168.201;
KuzinaTO;
10.13.130.244;
10.5.169.211;
10.13.129.85;
10.13.132.142;
10.13.129.129;
10.13.129.204;
10.13.132.131;
10.13.132.119;
10.5.169.208;
10.13.129.220;
10.5.168.153;
10.5.168.137;
10.13.130.215;
10.13.131.22;
10.13.132.50;
10.13.131.182;
10.13.131.96;
10.13.129.209;
10.5.168.138;
10.13.129.123;
10.13.132.117;
ws-ivd;
ws-vgg;
ws-miis;
10.5.169.122;
10.5.168.190;
10.13.130.155;
ws-vks438;
10.13.132.31;
10.5.169.143;
10.13.131.53;
10.13.132.114;
10.5.169.62;
10.5.169.57;
10.5.169.78;
10.5.169.221;
10.13.130.249;
10.13.132.42;
10.13.130.203;
ws-chda;
10.13.130.136;
10.5.168.115;
10.13.132.174;
10.13.129.196;
10.13.130.86;
10.13.130.237;
10.13.129.44;
10.13.128.156;
10.13.130.111;
10.13.129.168;
10.13.132.40;
10.13.130.164;
10.5.169.18;
10.5.169.42;
ws-nna;
10.13.128.101;
10.13.129.79;
10.13.132.9;
10.5.169.172;
10.13.131.87	IUS_Gazprom_Clients
VKS_BO	Группа ip адресов	10.7.237.15;
10.7.237.55	
VKS_HO	Группа ip адресов	10.5.168.79;
10.5.168.81	
ASULR_SUR_Client	Группа ip адресов	10.5.168.112;
MOS-ETRTS1-2K12	
BLOCK_IP	Группа ip адресов	46.163.100.220;
93.95.102.109;
185.51.247.125;
185.51.247.169;
208.91.198.93;
77.222.57.247;
81.177.135.151;
81.177.141.15;
87.236.19.244	BLOCK_IP
Ammy_Admin_Servers	Группа ip адресов	217.172.183.184;
50.115.127.36;
50.115.127.37;
62.75.224.229;
85.25.20.109;
88.198.6.56;
93.95.102.102;
93.95.102.109;
93.95.99.233	Ammy_Admin_Servers
HTTP_Services	Протокол TCP	80;
443;
8080	HTTP_Services
IUS_MTR_Users	Группа ip адресов	10.5.169.187;
10.13.129.9;
10.5.169.35;
10.5.168.193;
10.5.169.52;
KadyrovaDA;
KuzminaEE;
FilenkoEV_ASBU	IUS_MTR_Users
IUS_MTR_Servers	Группа ip адресов	10.56.67.21;
10.56.67.22;
10.56.194.68;
10.56.66.68;
10.56.194.5;
10.56.194.6;
10.56.66.5;
10.56.66.6	IUS_MTR_Servers
SAMS_Service_Ports	Протокол TCP	3128	SAMS_Service_Ports
Discl_Clients	Группа ip адресов	10.5.169.30;
10.5.168.112;
10.5.168.181;
10.5.168.252;
10.5.168.88;
10.5.169.195;
10.5.169.196;
10.5.169.228;
10.5.169.57;
10.13.130.146;
10.13.130.147;
10.13.130.148;
10.13.130.149;
NekrashevichNA;
SheleninDY;
MOS-ETRANTERM-2K3;
MOS-ETRTS1-2K12;
mos-rdsn2-2k12	Dostup_k_Dislocacii
GOSUSER	Группа ip адресов	10.5.168.249;
10.5.168.76	GOSUSER
IUS_BUIRG_Clients	Группа ip адресов	10.5.169.7;
10.13.128.151;
10.5.168.115;
10.5.168.47;
10.13.130.21;
10.13.128.46;
10.13.129.117;
10.13.140.70;
10.5.169.87	IUS_BUIRG_Clients
IUS_BUIRG_Servers	Группа ip адресов	10.241.1.28;
10.241.1.40;
10.56.195.21;
10.56.67.21;
10.56.67.22;
10.56.194.5;
10.56.194.6;
10.56.66.5;
10.56.66.6	IUS_BUIRG_Servers
IUS_BUIRG_Ports	Протокол TCP	3200; 
3300;
443	IUS_BUIRG_Ports
Yamal_Network_Hardware	Группа IP адресов	Yamal_ASA_Inside; 
Yamal_S-Terra_1000; 
Yamal_ASA; 
obs-crp1vrrp1-vpn1000;
obs-crp2vrrp1-vpn1000;
10.14.99.36	
Astrakhan_Network_Hardware	Группа IP адресов	Astrakhan_Router; Astrakhan_Firewall; 10.7.232.65; 10.7.232.94; Astrakhan_S-Terra	
Amur_Network_Hardware	Группа IP адресов	ASA_Amur_outside; S-Terra_Amur_inside; S-Terra_Amur_outside	
Krasnodar_Network_Hardware	Группа IP адресов	Krasnodar_Firewall; Krasnodar_Router; Krasnodar_S-Terra	
Orenburg_Network_Hardware	Группа IP адресов	10.7.64.10; 10.7.64.18; 10.7.64.9; 10.7.65.1	
Zabbix_Check_Network_Resources_Filials	Группа IP адресов	Surgut_S-Terra_Office; Surgut_S-Terra_OGP; 10.7.237.129; Urengoy_S-Terra_2; 10.7.65.1; Uhta_S-Terra_1; Uhta_S-Terra_2; 10.7.233.21; 10.7.232.65; Astrakhan_Firewall; 10.7.235.220; 10.7.235.241; 10.7.235.251; 10.7.235.131; 10.7.235.155; 10.7.235.156; Urengoy_S-Terra_1; 10.7.233.2; 10.7.240.137; 10.7.233.4; 10.7.233.5; 10.7.233.9; Astrakhan_WSUS_Server; 10.7.233.16; 10.7.233.17; 10.7.233.20; 10.7.233.22; 10.7.233.228; 10.7.233.229; 10.7.233.8; 10.7.235.175; Yamal_Network_Hardware; Astrakhan_Network_Hardware; Amur_Network_Hardware; Ex_Ast_1; Ex_Ast_2; AST-DC1; AST-DC2; Yamal_1C; 10.7.240.254; 10.7.235.194; Krasnodar_Network_Hardware; Orenburg_Network_Hardware; AST-TERMWEB2-INET; AST-TERM2012-APP; Surgut_FServer; AST-TERMWEB1-IUS; SUR-1C8-2K8; 10.7.235.243	
Filials_phones	Группа IP адресов	10.7.237.158; 10.7.237.15	
Service_Zabbix	Протокол TCP	22;
10050	
Oracle_Monitoring_Servers_Moscow	Группа IP адресов	10.13.129.141; 10.13.129.142; 10.13.129.143; 10.13.129.144; 10.13.129.146; 10.5.169.135; 10.13.129.186	
Oracle_Monitoring_Servers_Filials	Группа IP адресов	10.7.65.11; 10.7.65.12; 10.7.237.69; 10.7.233.21; 10.7.233.22; 10.7.235.156; 10.7.235.155; 10.7.240.131; 10.7.240.132; 10.7.237.71; 10.7.237.72; 10.7.65.18; 10.7.65.19; 10.7.233.26; 10.7.233.27; 10.7.235.180; 10.7.235.181; 10.7.240.134; 10.7.240.136; 10.7.237.109; 10.7.237.123; 10.7.237.125; 10.7.237.76; 10.7.237.78; 10.13.204.5; 10.13.204.6	
Service_Monitoring_Oracle	Протокол TCP	1521; 2010; 22; 3872; 4889; 4900; 1522; 4903	
IUS_M_SUIM	Группа IP адресов	10.5.184.42; 10.56.194.6; 10.56.194.5	
IUS_M_SUIM_Clients	Группа IP адресов	10.5.169.54; 10.13.128.164; 10.13.128.32; 10.13.128.227; SelivanenkoIV	
KHD_on_PHD_Clients	Группа IP адресов	10.13.128.175; 10.13.128.43; 10.5.169.131; 10.13.129.53; 10.13.128.194; 10.13.129.245; 10.13.128.48; 10.5.169.54; 10.13.128.164; 10.5.168.231; 10.5.168.230; 10.13.128.32; 10.13.128.238	
KHD_on_PHD_Servers	Группа IP адресов	10.56.194.6; 10.56.194.5; 10.56.66.6; 10.56.66.5	
Taxcom_Users	IP адрес	10.13.128.151	
IUS_OBD_NSI_Clients	Группа IP адресов	10.5.168.233; 10.13.129.214; 10.5.169.105	
IUS_OBD_NSI_Servers	Группа IP адресов	10.56.195.21; 10.56.67.21; 10.56.67.22; 10.56.194.5; 10.56.194.6; 10.56.66.5; 10.56.66.6	
IUS_OBD_NSI_Ports	Протокол TCP	3200; 3300; 443	IUS_BUIRG_Ports
IUS_ASEZ_Clients	Группа IP адресов	10.13.128.20; 10.13.129.206; 10.13.129.32; 10.5.168.249; 10.5.169.115; 10.5.168.223; 10.5.169.102; 10.5.169.127; 10.5.169.91; 10.13.128.100; 10.13.128.213; 10.5.168.100; 10.5.169.209; 10.5.169.39; 10.13.128.240; 10.13.130.14; 10.13.131.113; 10.13.129.229; 10.13.140.94; 10.13.131.228; 10.5.168.247; 10.5.169.22; DmitrievaEG; 10.5.168.69; 10.13.131.13; AdaykinaEN; 10.13.128.50; OrlovIA; PulyaevaKV; MinaevIA; MalyarevichAV; ws-mnal; 10.13.128.47	IUS_ASEZ_Clients
IUS_ASEZ_Servers	Группа IP адресов	10.56.194.5; 10.56.194.6; 10.56.66.6; 10.56.66.5	IUS_ASEZ_Servers
Zabbix_chech_inside_S_Terra	Группа IP адресов	10.5.139.34; 10.5.139.35; 10.5.139.37	Zabbix_chech_inside_S_Terra
PING_S_Terra	Протокол ICMP	0;
8
	PING_S_Terra
TAXCOM_Client	IP адрес	10.13.128.151	TAXCOM_Client
TAXCOM_Servers	Группа IP адресов	81.177.14.204; 193.0.214.204	TAXCOM_Servers
TAXCOM_Ports	Протокол TCP	1110; 5025; 110; 25	TAXCOM_Ports
GNIVC_SERVERS	Группа IP адресов	93.95.155.34; 93.95.155.36; 93.95.155.45	GNIVC_SERVERS
GNIVC_SERVICE	Протокол TCP	50025; 50026; 50028; 50029; 50110; 50111; 50113; 50114; 80; 110; 25	GNIVC_SERVICE
ATLAS_Clients	IP адрес	10.13.128.100	ATLAS_Clients
S_TERRA_SERVERS	Группа IP адресов	10.5.139.35; 10.5.139.36; 10.5.139.37; 10.5.139.34	S_TERRA_SERVERS
Restricted_Nets	Группа IP адресов	10.0.0.0 255.255.255.0; 169.254.0.0 255.255.0.0; 172.16.0.0 255.240.0.0; 192.168.0.0 255.255.0.0; 240.0.0.0 240.0.0.0; 50.31.164.165; 50.31.164.166; 50.31.164.173; 50.31.164.174; 50.31.164.175; 10.248.8.240; 10.248.0.135; 185.51.247.125; 185.51.247.169; 208.91.198.93; 77.222.57.247; 81.177.135.151; 81.177.141.15; 87.236.19.244; 104.18.32.14; 104.18.33.14; 173.208.81.207; 23.226.236.13; 68.178.213.61; 217.12.199.116; 217.12.199.167; 217.12.199.210; 217.12.199.118; 217.12.199.61; 217.12.199.74; 217.12.199.90; 217.12.199.184; 217.12.199.57; 217.12.199.64; 5.34.205.0 255.255.255.0; 5.34.207.0 255.255.255.0	Typovye informacionnye potoki 2014
Novaya_BD	Группа IP адресов	10.13.129.140; 10.13.129.147; 10.13.129.221; 10.13.129.222; 10.13.129.224; 10.13.129.185	Dostup k germes
bam-botnet	Группа IP адресов	50.31.164.165; 50.31.164.166; 50.31.164.173; 50.31.164.174; 50.31.164.175	
GPN_AZS	IP адрес	22221-22221	Dostup k LK na saite GPN (pismo 23118871)
Kaspersky	Протокол TCP	13000; 135; 14000	
TMG_port	Протокол TCP	1745; 8080	
Web_Izarb	IP адрес	All_Filials	Dostup dlya filialov to IzarB
Zabbix_Check_SNMP	Группа IP адресов	Astrakhan_Router; Uhta_Router; Surgut_Router; Krasnodar_Router; Urengoy_Router; 10.7.64.9	
Ex	Группа IP адресов	10.5.169.53; 10.5.169.58	MS Exchange
AD	Группа IP адресов	10.5.168.220; 10.5.169.213; 10.5.168.17	AD servers
MailServersFilials	Группа IP адресов	10.7.233.2; 10.7.235.220; 10.7.240.140; 10.7.65.17; Ex_Ast_DAG; Ex_Ast_2; Ex_Ast_1; 10.7.237.67; Ex_Yamal_1	
AD_trust_ports_TCP	Протокол TCP	445; 636; 139; 135; 137; 88; 53; 389	
AD_trust_ports_UDP	Протокол UDP	138; 135; 389; 88; 53; 137	
MS_Lync_Servers	Группа IP адресов	10.13.128.204; 10.5.168.116	
MS_Lync_ports	Протокол TCP	5061; 443	
HW1000_Servers	Группа IP адресов	HW1000-1; HW1000-2; HW1000_Cluster	New_vipnet_servers
