Имя объекта	Тип объекта	Содержание	Коментарий
RubtsovAA	Ip адрес	10.13.131.201	
IvanovaYN	Ip адрес	10.13.129.205	
LevitckySN	Ip адрес	10.13.129.193	
SvetlovaEP	Ip адрес	10.5.169.132	
KoveraII	Ip адрес	10.13.131.60	
KrivashovaMV	Ip адрес	10.13.129.197	Videlennoe ARM
PozdnyakovNS	Ip адрес	10.5.169.95	
GromovBM	Ip адрес	10.5.169.21	
VologzhaninAA	Ip адрес	10.13.131.174	
GaripovRV	Ip адрес	10.13.131.20	
KuptsovPG	Ip адрес	10.5.169.117	
mos-direct-2k12	Ip адрес	10.5.168.50	
Ex_Ast_DAG	Ip адрес	10.7.233.29	
Urengoy_Sidorova	Ip адрес	10.7.240.148	
Urengoy_Mahnovskiy	Ip адрес	10.7.240.181	
Urengoy_Naumov	Ip адрес	10.7.240.206	
SamoshenkoLA	Ip адрес	10.13.131.74	
Proxy_Yamal	Ip адрес	10.14.99.195	
mos-iis-2k12	Ip адрес	10.13.129.0	
KSC_Yamal	Ip адрес	10.13.204.10	
WSUS_Yamal	Ip адрес	10.13.204.10	
SladkovVI	Ip адрес	10.13.205.51	
Yamal_SladkovVI	Ip адрес	10.13.205.51	
Yamal_MavdrikOY	Ip адрес	10.13.205.44	
WSUS_Urengoy	Ip адрес	10.7.240.205	
Ast_Uskaev	Ip адрес	10.7.233.222	
KadyrovaDA	Ip адрес	10.5.169.145	
mos-is1-2k12	Ip адрес	10.5.168.108	
mos-owapp-2k12	Ip адрес	10.13.131.88	
amur-orcl2-2k12	Ip адрес	10.5.168.41	
amur-orcl1-2k12	Ip адрес	10.5.168.40	
assois.ss.gazprom.ru	Ip адрес	10.83.241.51	
ASUP_PD-Farm1	Ip адрес	10.56.66.9	
ASUP_PD-Farm3	Ip адрес	10.56.66.10	
esrdi.ss.gazprom.ru	Ip адрес	10.83.241.30	
KSC_Uhta	Ip адрес	10.7.235.220	
ASA_Amur_outside	Ip адрес	10.5.139.138	
report.keydisk.ru	Ip адрес	31.13.60.76	
service.fsrar.ru	Ip адрес	146.120.90.20	
f4.fss.ru	Ip адрес	193.148.44.187	
pnv-rpn.ru	Ip адрес	87.245.187.122	
S-Terra_Amur_inside	Ip адрес	10.5.139.137	
S-Terra_Amur_outside	Ip адрес	10.5.139.130	
Yamal_S-Terra_1000	Ip адрес	10.14.99.44	
Yamal_ASA_Inside	Ip адрес	10.13.204.2	
Zabbix_TEMP	Ip адрес	10.13.130.39	
Yamal_ASA	Ip адрес	10.14.99.33	
MelnikovaOA	Ip адрес	10.13.131.73	
Ex_Ast_2	Ip адрес	10.7.233.28	
KuzminaEE	Ip адрес	10.13.128.168	MPUR ASBU
obs-crp1vrrp1-vpn1000	Ip адрес	10.14.99.42	
obs-crp2vrrp1-vpn1000	Ip адрес	10.14.99.43	
HW1000_Cluster	Ip адрес	10.5.139.240	
Ex_Ast_1	Ip адрес	10.7.233.39	
PulyaevaKV	Ip адрес	10.13.130.242	
MinaevIA	Ip адрес	10.5.168.188	
PomaskinDV	Ip адрес	10.5.169.49	
LeontevaPN	Ip адрес	10.13.128.181	
SennikovAV	Ip адрес	10.5.169.60	
FilenkoEV_ASBU	Ip адрес	10.13.130.1	
ws-nnt	Ip адрес	10.13.128.127	
Surgut_YarullinaGK	Ip адрес	10.7.237.102	
KSC_Surgut	Ip адрес	10.7.237.130	
MardanovaTB	Ip адрес	10.5.168.28	
mos-bi-2k12	Ip адрес	10.13.130.78	
DolgovaYuN	Ip адрес	10.5.168.83	
Surgut_RybalkinaYV	Ip адрес	10.7.237.18	
Surgut_TveretinaEM	Ip адрес	10.7.237.13	
SlijovaMS	Ip адрес	10.13.131.117	
KostebelovSV	Ip адрес	10.13.128.35	
LobanovaEY	Ip адрес	10.13.129.241	
mos-arisbp-2k8	Ip адрес	10.13.129.35	
RijaevaNA	Ip адрес	10.13.131.246	
KonokotinaNN	Ip адрес	10.13.131.72	
RyabkinaEY	Ip адрес	10.5.169.156	
ShardakovaZN	Ip адрес	10.13.129.85	
MalyarevichAV	Ip адрес	10.13.130.83	
PechenkinAA	Ip адрес	10.13.131.87	
Surgut_Salnikov	Ip адрес	10.7.237.75	
SelivanenkoIV	Ip адрес	10.13.129.121	
ws-gen	Ip адрес	10.5.169.164	
KruglyhinaYA	Ip адрес	10.13.130.118	
UstinovaEI	Ip адрес	10.5.168.66	
TyurinDY	Ip адрес	10.5.168.213	
KosenkoEV	Ip адрес	10.5.169.214	
MyasnikovVS	Ip адрес	10.13.131.80	
Orenburg_RedinSG	Ip адрес	10.7.66.30	
Orenburg_PalevAV	Ip адрес	10.7.66.13	
Orenburg_SharovAN	Ip адрес	10.7.66.29	
AAG	Ip адрес	10.5.168.120	
ws-mnal	Ip адрес	10.5.169.63	
PanshinIV	Ip адрес	10.13.132.16	
YakimovaLA	Ip адрес	10.13.131.89	
PatsukAV	Ip адрес	10.13.132.10	
PetrovaYuS	Ip адрес	10.13.131.101	
VlasovaEE	Ip адрес	10.5.168.32	
AST-DC1	Ip адрес	10.7.233.24	
AST-DC2	Ip адрес	10.7.233.233	
Yamal_1C	Ip адрес	10.13.206.10	
InzhievskiyAL	Ip адрес	10.5.169.146	
PolukarovaIA	Ip адрес	10.13.128.136	
NyatinaOV1	Ip адрес	10.13.129.101	
JukovAS	Ip адрес	10.13.128.27	
Orenburg_Das	Ip адрес	10.7.66.80	
mos-mapinf-pg	Ip адрес	10.13.130.16	
VoronovaAK	Ip адрес	10.5.168.155	
AST-TERMWEB1-IUS	Ip адрес	10.7.233.92	
AST-TERMWEB2-INET	Ip адрес	10.7.233.38	
AST-TERM2012-APP	Ip адрес	10.7.233.249	
TominSI	Ip адрес	10.13.130.0	
ToropovOO	Ip адрес	10.5.169.222	
NaumenkoAL	Ip адрес	10.5.169.104	
EvdokimovaME	Ip адрес	10.13.130.96	
GrechihinaSA	Ip адрес	10.13.129.80	
KozlovAN	Ip адрес	10.5.169.192	
KozyrevSN	Ip адрес	10.13.129.172	
BelyaevaZV	Ip адрес	10.13.130.55	
MelekhinMI	Ip адрес	10.13.130.233	
AsharinAA	Ip адрес	10.13.130.200	
ShatalovaAR	Ip адрес	10.13.132.47	
GrishaninDV	Ip адрес	10.13.128.237	
FrantsuzovaIV	Ip адрес	10.13.129.124	
KostikovaMM	Ip адрес	10.5.168.78	
KashinaPA	Ip адрес	10.13.132.87	
PanasukTI	Ip адрес	10.5.168.169	
AhmedzhanovaIA	Ip адрес	10.13.131.239	
VeselovaVS	Ip адрес	10.5.168.187	
JuravlevaDS	Ip адрес	10.13.130.217	
VolkovaOV	Ip адрес	10.5.169.71	
DaevaYuA	Ip адрес	10.13.131.177	
mos-mapinf-ol7	Ip адрес	10.13.132.107	37606596
MOS-ETRTS1-2K12	Ip адрес	10.5.168.222	
MOS-ETRANTERM-2K3	Ip адрес	10.5.169.200	
DemyachenkoEV	Ip адрес	10.13.132.73	
Surgut_FServer	Ip адрес	10.7.237.67	
TotcevichFV	Ip адрес	10.13.128.201	
ChumakEYu	Ip адрес	10.13.131.114	
MardanovAR	Ip адрес	10.5.169.160	
Surgut_S-Terra_PromIn	Ip адрес	10.7.237.129	
FedorenkoEV	Ip адрес	10.13.130.165	
PlotnikovaYuA	Ip адрес	10.13.129.250	
VNAdm	Ip адрес	10.5.139.231	
EremenkoDV	Ip адрес	10.13.132.55	
ZernovaSA	Ip адрес	10.13.130.127	
AkhmedjanovaIA	Ip адрес	10.13.131.239	
SchkurovaTA	Ip адрес	10.13.132.52	
Kulikova	Ip адрес	10.13.130.156	
KulikovaOA	Ip адрес	10.13.130.156	
ParaschenkoIA	Ip адрес	10.13.132.23	
KomoskoOV	Ip адрес	10.13.129.118	
KozhinaYuS	Ip адрес	10.13.132.15	
ListkovDA	Ip адрес	10.13.130.31	
mos-pmon-ol7	Ip адрес	10.13.132.100	
MashkinaNV	Ip адрес	10.5.168.125	
Ex_Yamal_1	Ip адрес	10.13.204.9	
DC_Yamal_1	Ip адрес	10.13.204.4	
mos-triton-2k12	Ip адрес	10.13.130.114	
mos-pluton-2k12	Ip адрес	10.13.132.28	
mos-neptun-2k12	Ip адрес	10.13.132.65	
MolodovskayaOV	Ip адрес	10.13.131.28	
KiryanovaLA	Ip адрес	10.13.131.167	
SavchenkoLV	Ip адрес	10.5.168.227	
